lane	This is a subobject that is not a separate module, just part of the seq module				
Information about a particular sequencing lane					
					
Field Name	source	Priority	Applies to	Type	Description
number	submitter	optional	All lane based sequencing	number	Which lane number
					
r1	submitter	optional	Paired end sequencing	file/url	First read in paired read sequencing assay, or only read if unpaired
r2	submitter	optional	Paired end sequencing	file/url	Second read in paired read assay
i1	submitter	optional	"Single" read assays	file/url	Barcode only read fragment 1
i2	submitter	optional	Assays with barcode only reads	file/url	Barcode only read fragment 2
